file,norm,fold,epoch,avg_epoch_time,train_acc,test_acc,dataset,model,declared_epochs,norm_type_header,exp
bn_0.txt,bn,0,198,0.2241,0.7642,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,199,0.2242,0.7453,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,200,0.2242,0.6853,0.6339,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,201,0.2242,0.7612,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,202,0.2243,0.7632,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,203,0.2243,0.7662,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,204,0.2244,0.7522,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,205,0.2244,0.7552,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,206,0.2244,0.7682,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,207,0.2245,0.7582,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,208,0.2246,0.7502,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,209,0.2246,0.7672,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,210,0.2247,0.7652,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,211,0.2247,0.7642,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,212,0.2247,0.6404,0.5714,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,213,0.2248,0.7612,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,214,0.2249,0.7552,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,215,0.2249,0.7502,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,216,0.2249,0.7692,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,217,0.2249,0.7702,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,218,0.225,0.7622,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,219,0.225,0.7682,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,220,0.225,0.7612,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,221,0.2251,0.7682,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,222,0.2251,0.7602,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,223,0.2251,0.7722,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,224,0.2251,0.7622,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,225,0.2251,0.7522,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,226,0.2251,0.7602,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,227,0.2251,0.7692,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,228,0.2251,0.7642,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,229,0.2251,0.7592,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
